date,action,price,shares,cash,position_value,total_value,prediction,probability_up
2024-11-01,买入,8100.0,1.2345679012345678,0.0,9832.098765432098,9832.098765432098,涨,0.5254237651824951
2024-11-04,持有,8006.0,1.2345679012345678,0.0,9883.95061728395,9883.95061728395,涨,0.5212557911872864
2024-11-05,持有,7993.0,1.2345679012345678,0.0,9867.9012345679,9867.9012345679,涨,0.5143435001373291
2024-11-06,持有,7780.0,1.2345679012345678,0.0,9604.938271604939,9604.938271604939,涨,0.5384939908981323
2024-11-07,持有,7699.0,1.2345679012345678,0.0,9504.938271604939,9504.938271604939,涨,0.5521959662437439
2024-11-08,持有,7760.0,1.2345679012345678,0.0,9580.246913580246,9580.246913580246,涨,0.5468214750289917
2024-11-11,持有,7800.0,1.2345679012345678,0.0,9629.62962962963,9629.62962962963,涨,0.5382078289985657
2024-11-12,持有,7581.0,1.2345679012345678,0.0,9359.25925925926,9359.25925925926,涨,0.5570456385612488
2024-11-13,持有,7707.0,1.2345679012345678,0.0,9514.814814814814,9514.814814814814,涨,0.5456611514091492
2024-11-14,持有,7504.0,1.2345679012345678,0.0,9264.197530864198,9264.197530864198,涨,0.5605486631393433
2024-11-15,持有,7591.0,1.2345679012345678,0.0,9371.604938271605,9371.604938271605,涨,0.5505488514900208
2024-11-18,持有,7688.0,1.2345679012345678,0.0,9491.358024691357,9491.358024691357,涨,0.5349820852279663
2024-11-19,持有,7817.0,1.2345679012345678,0.0,9650.617283950616,9650.617283950616,涨,0.5210680365562439
2024-11-20,持有,7761.0,1.2345679012345678,0.0,9581.481481481482,9581.481481481482,涨,0.5208821892738342
2024-11-21,持有,7840.0,1.2345679012345678,0.0,9679.012345679012,9679.012345679012,涨,0.5116260051727295
2024-11-22,持有,7804.0,1.2345679012345678,0.0,9634.567901234568,9634.567901234568,涨,0.5119555592536926
2024-11-25,持有,7657.0,1.2345679012345678,0.0,9453.086419753086,9453.086419753086,涨,0.5334979295730591
2024-11-26,持有,7602.0,1.2345679012345678,0.0,9385.185185185184,9385.185185185184,涨,0.5395171046257019
2024-11-27,持有,7674.0,1.2345679012345678,0.0,9474.074074074073,9474.074074074073,涨,0.5166265964508057
2024-11-28,持有,7532.0,1.2345679012345678,0.0,9298.765432098766,9298.765432098766,涨,0.5251976251602173
2024-11-29,持有,7697.0,1.2345679012345678,0.0,9502.469135802468,9502.469135802468,涨,0.5017102956771851
2024-12-02,持有,7596.0,1.2345679012345678,0.0,9377.777777777777,9377.777777777777,涨,0.5032300353050232
2024-12-03,卖出,7633.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.489518404006958
2024-12-04,空仓,7814.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.486471027135849
2024-12-05,空仓,7832.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.482017457485199
2024-12-06,空仓,7823.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.4843239486217499
2024-12-09,空仓,7795.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.4935527741909027
2024-12-10,空仓,7924.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.4794442355632782
2024-12-11,空仓,7914.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.475625604391098
2024-12-12,空仓,8014.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.4681006073951721
2024-12-13,空仓,7795.0,0.0,9423.456790123457,0.0,9423.456790123457,跌,0.49878692626953125
2024-12-16,买入,7773.0,1.2123320198280532,0.0,9378.600505389819,9378.600505389819,涨,0.5175665616989136
2024-12-17,持有,7717.0,1.2123320198280532,0.0,9355.566197013086,9355.566197013086,涨,0.5171356797218323
2024-12-18,持有,7701.0,1.2123320198280532,0.0,9336.168884695837,9336.168884695837,涨,0.5110874772071838
2024-12-19,持有,7505.0,1.2123320198280532,0.0,9098.55180880954,9098.55180880954,涨,0.5347050428390503
2024-12-20,持有,7444.0,1.2123320198280532,0.0,9024.599555600027,9024.599555600027,涨,0.5461684465408325
2024-12-23,持有,7583.0,1.2123320198280532,0.0,9193.113706356127,9193.113706356127,涨,0.5295955538749695
2024-12-24,持有,7580.0,1.2123320198280532,0.0,9189.476710296643,9189.476710296643,涨,0.5204490423202515
2024-12-25,持有,7582.0,1.2123320198280532,0.0,9191.9013743363,9191.9013743363,涨,0.5151200294494629
2024-12-26,持有,7583.0,1.2123320198280532,0.0,9193.113706356127,9193.113706356127,涨,0.5117013454437256
2024-12-27,持有,7601.0,1.2123320198280532,0.0,9214.935682713032,9214.935682713032,涨,0.5066352486610413
2024-12-30,持有,7560.0,1.2123320198280532,0.0,9165.230069900083,9165.230069900083,涨,0.5083483457565308
2024-12-31,持有,7470.0,1.2123320198280532,0.0,9056.120188115558,9056.120188115558,涨,0.5196128487586975
2025-01-02,持有,7614.0,1.2123320198280532,0.0,9230.695998970798,9230.695998970798,涨,0.500495970249176
2025-01-03,卖出,7631.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.490046888589859
2025-01-06,空仓,7611.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.48887118697166443
2025-01-07,空仓,7733.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.4836820960044861
2025-01-08,空仓,7759.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.47665277123451233
2025-01-09,空仓,7774.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.4742948114871979
2025-01-10,空仓,7824.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.4710804224014282
2025-01-13,空仓,7788.0,0.0,9251.305643307875,0.0,9251.305643307875,跌,0.47659456729888916
2025-01-14,买入,7670.0,1.2061676197272326,0.0,9176.523250884786,9176.523250884786,涨,0.5138100385665894
2025-01-15,持有,7689.0,1.2061676197272326,0.0,9274.222828082691,9274.222828082691,涨,0.5001598000526428
2025-01-16,卖出,7699.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.48005956411361694
2025-01-17,空仓,7833.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4773864150047302
2025-01-20,空仓,7770.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.48363569378852844
2025-01-21,空仓,7783.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4841338098049164
2025-01-22,空仓,7812.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4797433614730835
2025-01-23,空仓,7720.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4887509047985077
2025-01-24,空仓,7778.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4813012182712555
2025-01-27,空仓,7687.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.48962822556495667
2025-02-05,空仓,8107.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4817436933517456
2025-02-06,空仓,8042.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.47793829441070557
2025-02-07,空仓,8055.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.47676727175712585
2025-02-10,空仓,8062.0,0.0,9286.284504279964,0.0,9286.284504279964,跌,0.4824272692203522
2025-02-11,买入,8085.0,1.1485818805541081,0.0,9156.49475177735,9156.49475177735,涨,0.5065513849258423
2025-02-12,持有,7967.0,1.1485818805541081,0.0,9150.75184237458,9150.75184237458,涨,0.5059458017349243
2025-02-13,卖出,7940.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.4871821403503418
2025-02-14,空仓,8254.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.4736928343772888
2025-02-17,空仓,8016.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.4917103350162506
2025-02-18,空仓,8077.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.48851925134658813
2025-02-19,空仓,8132.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.4787968397140503
2025-02-20,空仓,8147.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.47577664256095886
2025-02-21,空仓,8102.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.47859707474708557
2025-02-24,空仓,8087.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.4803414046764374
2025-02-25,空仓,8017.0,0.0,9119.74013159962,0.0,9119.74013159962,跌,0.4902956485748291
2025-02-26,买入,7950.0,1.1471371234716503,0.0,9066.971823919925,9066.971823919925,涨,0.5095765590667725
2025-02-27,持有,7900.0,1.1471371234716503,0.0,9062.383275426037,9062.383275426037,涨,0.5106561183929443
2025-02-28,持有,7869.0,1.1471371234716503,0.0,9026.822024598416,9026.822024598416,涨,0.509878933429718
2025-03-03,持有,7907.0,1.1471371234716503,0.0,9070.41323529034,9070.41323529034,涨,0.5000396966934204
2025-03-04,卖出,7978.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.49096858501434326
2025-03-05,空仓,8006.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.48683997988700867
2025-03-06,空仓,8076.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4848274886608124
2025-03-07,空仓,8069.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4837401211261749
2025-03-10,空仓,8076.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.48405784368515015
2025-03-11,空仓,8012.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.495492547750473
2025-03-12,空仓,8087.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4850740432739258
2025-03-13,空仓,8152.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4794624447822571
2025-03-14,空仓,8380.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4672599732875824
2025-03-17,空仓,8355.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4619743525981903
2025-03-18,空仓,8369.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.46411439776420593
2025-03-19,空仓,8378.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.46974071860313416
2025-03-20,空仓,8356.0,0.0,9151.859971056827,0.0,9151.859971056827,跌,0.4810669422149658
2025-03-21,买入,8300.0,1.1026337314526298,0.0,9049.315034031733,9049.315034031733,涨,0.5115224123001099
2025-03-24,持有,8248.0,1.1026337314526298,0.0,9094.52301702129,9094.52301702129,涨,0.5014087557792664
2025-03-25,卖出,8233.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.4889317750930786
2025-03-26,空仓,8366.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.4758458137512207
2025-03-27,空仓,8372.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.4733264744281769
2025-03-28,空仓,8512.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.46707573533058167
2025-03-31,空仓,8506.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.4652283787727356
2025-04-01,空仓,8432.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.47793668508529663
2025-04-02,空仓,8401.0,0.0,9077.9835110495,0.0,9077.9835110495,跌,0.4914534091949463
2025-04-03,买入,8418.0,1.0784014624672726,0.0,8935.63451800382,8935.63451800382,涨,0.5098457932472229
2025-04-07,持有,7617.0,1.0784014624672726,0.0,8214.183939613216,8214.183939613216,涨,0.5549130439758301
2025-04-08,持有,7683.0,1.0784014624672726,0.0,8285.358436136055,8285.358436136055,涨,0.5638909935951233
2025-04-09,持有,7755.0,1.0784014624672726,0.0,8363.0033414337,8363.0033414337,涨,0.566564679145813
2025-04-10,持有,7974.0,1.0784014624672726,0.0,8599.173261714031,8599.173261714031,涨,0.5598857998847961
2025-04-11,持有,7970.0,1.0784014624672726,0.0,8594.859655864162,8594.859655864162,涨,0.5576651096343994
2025-04-14,持有,8091.0,1.0784014624672726,0.0,8725.346232822703,8725.346232822703,涨,0.5500522255897522
2025-04-15,持有,8158.0,1.0784014624672726,0.0,8797.59913080801,8797.59913080801,涨,0.5414660573005676
2025-04-16,持有,8233.0,1.0784014624672726,0.0,8878.479240493056,8878.479240493056,涨,0.5238128304481506
2025-04-17,持有,8161.0,1.0784014624672726,0.0,8800.834335195412,8800.834335195412,涨,0.531520426273346
2025-04-18,持有,8160.0,1.0784014624672726,0.0,8799.755933732944,8799.755933732944,涨,0.5340743660926819
2025-04-21,持有,8247.0,1.0784014624672726,0.0,8893.576860967598,8893.576860967598,涨,0.5131012201309204
2025-04-22,持有,8174.0,1.0784014624672726,0.0,8814.853554207486,8814.853554207486,涨,0.5121503472328186
2025-04-23,卖出,8175.0,0.0,8815.931955669954,0.0,8815.931955669954,跌,0.4999484121799469
2025-04-24,空仓,8296.0,0.0,8815.931955669954,0.0,8815.931955669954,跌,0.48236948251724243
2025-04-25,空仓,8280.0,0.0,8815.931955669954,0.0,8815.931955669954,跌,0.4786565601825714
2025-04-28,空仓,8168.0,0.0,8815.931955669954,0.0,8815.931955669954,跌,0.49134060740470886
