date,action,price,shares,cash,position_value,total_value,prediction,probability_up
2024-11-01,空仓,629.72,0.0,10000.0,0.0,10000.0,跌,0.4753626883029938
2024-11-04,买入,630.38,15.863447444398616,0.0,9920.682762778006,9920.682762778006,涨,0.5520671606063843
2024-11-05,持有,625.02,15.863447444398616,0.0,9914.971921698023,9914.971921698023,涨,0.587104856967926
2024-11-06,持有,624.06,15.863447444398616,0.0,9899.743012151399,9899.743012151399,涨,0.5144480466842651
2024-11-07,卖出,621.66,0.0,9861.670738284844,0.0,9861.670738284844,跌,0.477763295173645
2024-11-08,空仓,615.48,0.0,9861.670738284844,0.0,9861.670738284844,跌,0.44258323311805725
2024-11-11,空仓,615.78,0.0,9861.670738284844,0.0,9861.670738284844,跌,0.44769352674484253
2024-11-12,空仓,605.66,0.0,9861.670738284844,0.0,9861.670738284844,跌,0.48274630308151245
2024-11-13,买入,604.1,16.324566691416724,0.0,9867.547582293753,9867.547582293753,涨,0.5264729261398315
2024-11-14,持有,593.1,16.324566691416724,0.0,9682.10050467926,9682.10050467926,涨,0.5895845890045166
2024-11-15,持有,593.3,16.324566691416724,0.0,9685.365418017542,9685.365418017542,涨,0.6209577322006226
2024-11-18,持有,600.6,16.324566691416724,0.0,9804.534754864884,9804.534754864884,涨,0.6151427626609802
2024-11-19,卖出,602.14,0.0,9829.674587569665,0.0,9829.674587569665,跌,0.49879157543182373
2024-11-20,空仓,610.6,0.0,9829.674587569665,0.0,9829.674587569665,跌,0.46335655450820923
2024-11-21,空仓,617.7,0.0,9829.674587569665,0.0,9829.674587569665,跌,0.4443736970424652
2024-11-22,空仓,627.88,0.0,9829.674587569665,0.0,9829.674587569665,跌,0.43262332677841187
2024-11-25,买入,630.0,15.602658075507405,0.0,9660.541774031164,9660.541774031164,涨,0.5025067329406738
2024-11-26,持有,610.84,15.602658075507405,0.0,9530.727658842943,9530.727658842943,涨,0.6334136724472046
2024-11-27,持有,616.46,15.602658075507405,0.0,9618.414597227295,9618.414597227295,涨,0.5793927311897278
2024-11-28,持有,613.2,15.602658075507405,0.0,9567.549931901141,9567.549931901141,涨,0.6224052906036377
2024-11-29,持有,618.8,15.602658075507405,0.0,9654.924817123981,9654.924817123981,涨,0.5548881888389587
2024-12-02,持有,613.28,15.602658075507405,0.0,9568.798144547181,9568.798144547181,涨,0.5418515801429749
2024-12-03,卖出,617.04,0.0,9627.46413891109,0.0,9627.46413891109,跌,0.4107641875743866
2024-12-04,空仓,618.22,0.0,9627.46413891109,0.0,9627.46413891109,跌,0.43118876218795776
2024-12-05,空仓,618.4,0.0,9627.46413891109,0.0,9627.46413891109,跌,0.4592517912387848
2024-12-06,空仓,615.94,0.0,9627.46413891109,0.0,9627.46413891109,跌,0.47797054052352905
2024-12-09,空仓,619.12,0.0,9627.46413891109,0.0,9627.46413891109,跌,0.48929911851882935
2024-12-10,空仓,621.44,0.0,9627.46413891109,0.0,9627.46413891109,跌,0.49935147166252136
2024-12-11,买入,624.2,15.423684938979635,0.0,9671.575877836569,9671.575877836569,涨,0.5101548433303833
2024-12-12,持有,631.38,15.423684938979635,0.0,9738.206196772962,9738.206196772962,涨,0.509329080581665
2024-12-13,持有,625.6,15.423684938979635,0.0,9649.05729782566,9649.05729782566,涨,0.5427963137626648
2024-12-16,持有,619.72,15.423684938979635,0.0,9558.366030384459,9558.366030384459,涨,0.5721268653869629
2024-12-17,持有,619.14,15.423684938979635,0.0,9549.42029311985,9549.42029311985,涨,0.5741997361183167
2024-12-18,持有,618.5,15.423684938979635,0.0,9539.549134758905,9539.549134758905,涨,0.6107521653175354
2024-12-19,持有,613.52,15.423684938979635,0.0,9462.739183762786,9462.739183762786,涨,0.5946390628814697
2024-12-20,持有,613.94,15.423684938979635,0.0,9469.217131437157,9469.217131437157,涨,0.5213842391967773
2024-12-23,卖出,613.3,0.0,9459.34597307621,0.0,9459.34597307621,跌,0.44652026891708374
2024-12-24,空仓,617.58,0.0,9459.34597307621,0.0,9459.34597307621,跌,0.4567093551158905
2024-12-25,空仓,619.0,0.0,9459.34597307621,0.0,9459.34597307621,跌,0.47722429037094116
2024-12-26,空仓,619.74,0.0,9459.34597307621,0.0,9459.34597307621,跌,0.49194538593292236
2024-12-27,买入,619.74,15.26341041900831,0.0,9466.672410077334,9466.672410077334,涨,0.5011261701583862
2024-12-30,持有,617.66,15.26341041900831,0.0,9427.598079404672,9427.598079404672,涨,0.5064677596092224
2024-12-31,持有,619.44,15.26341041900831,0.0,9454.766949950508,9454.766949950508,涨,0.5028860569000244
2025-01-02,持有,624.14,15.26341041900831,0.0,9526.504978919846,9526.504978919846,涨,0.5058609843254089
2025-01-03,持有,629.22,15.26341041900831,0.0,9604.04310384841,9604.04310384841,涨,0.5115137100219727
2025-01-06,持有,626.2,15.26341041900831,0.0,9557.947604383004,9557.947604383004,涨,0.5197416543960571
2025-01-07,持有,626.2,15.26341041900831,0.0,9557.947604383004,9557.947604383004,涨,0.5282704830169678
2025-01-08,持有,629.2,15.26341041900831,0.0,9603.73783564003,9603.73783564003,涨,0.5014533996582031
2025-01-09,卖出,629.4,0.0,9606.79051772383,0.0,9606.79051772383,跌,0.4979785084724426
2025-01-10,买入,635.0,15.128803964919417,0.0,9635.232669177878,9635.232669177878,涨,0.5090381503105164
2025-01-13,持有,638.72,15.128803964919417,0.0,9663.06966847333,9663.06966847333,涨,0.5070236921310425
2025-01-14,持有,633.6,15.128803964919417,0.0,9585.610192172942,9585.610192172942,涨,0.5526028275489807
2025-01-15,持有,636.84,15.128803964919417,0.0,9634.627517019282,9634.627517019282,涨,0.5023186206817627
2025-01-16,卖出,637.86,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.43387848138809204
2025-01-17,空仓,640.68,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.41326963901519775
2025-01-20,空仓,639.8,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.4101596772670746
2025-01-21,空仓,639.78,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.41176605224609375
2025-01-22,空仓,645.46,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.4344792068004608
2025-01-23,空仓,646.2,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.4565119445323944
2025-01-24,空仓,648.9,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.48240089416503906
2025-01-27,空仓,647.54,0.0,9650.0588970635,0.0,9650.0588970635,跌,0.4877990484237671
2025-02-05,买入,668.0,14.446195953687875,0.0,9688.196854381236,9688.196854381236,涨,0.5268157720565796
2025-02-06,持有,668.46,14.446195953687875,0.0,9656.704147202197,9656.704147202197,涨,0.523244321346283
2025-02-07,持有,669.9,14.446195953687875,0.0,9677.506669375507,9677.506669375507,涨,0.5074901580810547
2025-02-10,卖出,670.5,0.0,9686.17438694772,0.0,9686.17438694772,跌,0.49083182215690613
2025-02-11,空仓,685.74,0.0,9686.17438694772,0.0,9686.17438694772,跌,0.48923105001449585
2025-02-12,买入,680.0,14.244374098452528,0.0,9703.552523347831,9703.552523347831,涨,0.5441576242446899
2025-02-13,持有,684.56,14.244374098452528,0.0,9751.128732836662,9751.128732836662,涨,0.5720265507698059
2025-02-14,持有,688.4,14.244374098452528,0.0,9805.82712937472,9805.82712937472,涨,0.5595377087593079
2025-02-17,持有,677.1,14.244374098452528,0.0,9644.865702062207,9644.865702062207,涨,0.5675397515296936
2025-02-18,卖出,678.0,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.49842533469200134
2025-02-19,空仓,687.8,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.35775038599967957
2025-02-20,空仓,690.0,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.302752286195755
2025-02-21,空仓,684.44,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.3429463505744934
2025-02-24,空仓,685.98,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.3932727575302124
2025-02-25,空仓,685.58,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4327188730239868
2025-02-26,空仓,679.42,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4643084406852722
2025-02-27,空仓,678.52,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4743558168411255
2025-02-28,空仓,673.48,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4736717939376831
2025-03-03,空仓,673.98,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4756382405757904
2025-03-04,空仓,678.38,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4850202798843384
2025-03-05,空仓,683.9,0.0,9657.685638750814,0.0,9657.685638750814,跌,0.4980546832084656
2025-03-06,买入,683.0,14.140096103588307,0.0,9649.20158108866,9649.20158108866,涨,0.5088181495666504
2025-03-07,持有,681.24,14.140096103588307,0.0,9632.799069608498,9632.799069608498,涨,0.5162429809570312
2025-03-10,持有,683.04,14.140096103588307,0.0,9658.251242594957,9658.251242594957,涨,0.5149166584014893
2025-03-11,持有,679.08,14.140096103588307,0.0,9602.256462024749,9602.256462024749,涨,0.5201919078826904
2025-03-12,卖出,680.6,0.0,9623.749408102203,0.0,9623.749408102203,跌,0.4934796988964081
2025-03-13,空仓,686.18,0.0,9623.749408102203,0.0,9623.749408102203,跌,0.4885900914669037
2025-03-14,买入,687.52,13.997773749275954,0.0,9752.248971120558,9752.248971120558,涨,0.5120416283607483
2025-03-17,持有,697.64,13.997773749275954,0.0,9765.406878444875,9765.406878444875,涨,0.5079036355018616
2025-03-18,卖出,697.0,0.0,9756.448303245339,0.0,9756.448303245339,跌,0.49213743209838867
2025-03-19,空仓,709.18,0.0,9756.448303245339,0.0,9756.448303245339,跌,0.4748561978340149
2025-03-20,空仓,710.5,0.0,9756.448303245339,0.0,9756.448303245339,跌,0.4606301486492157
2025-03-21,买入,709.8,13.745348412574444,0.0,9717.41151375363,9717.41151375363,涨,0.5208855867385864
2025-03-24,持有,707.14,13.745348412574444,0.0,9719.885676467891,9719.885676467891,涨,0.6124709844589233
2025-03-25,持有,706.76,13.745348412574444,0.0,9714.662444071113,9714.662444071113,涨,0.667185366153717
2025-03-26,持有,709.02,13.745348412574444,0.0,9745.726931483532,9745.726931483532,涨,0.6117499470710754
2025-03-27,卖出,709.52,0.0,9752.599605689818,0.0,9752.599605689818,跌,0.4917386770248413
2025-03-28,空仓,722.8,0.0,9752.599605689818,0.0,9752.599605689818,跌,0.41788890957832336
2025-03-31,空仓,729.8,0.0,9752.599605689818,0.0,9752.599605689818,跌,0.4885224997997284
2025-04-01,买入,731.74,13.32795747900869,0.0,9813.375091794098,9813.375091794098,涨,0.5038290619850159
2025-04-02,持有,733.6,13.32795747900869,0.0,9777.389606600775,9777.389606600775,涨,0.5125473737716675
2025-04-03,卖出,735.88,0.0,9807.777349652915,0.0,9807.777349652915,跌,0.49855268001556396
2025-04-07,买入,701.8,13.975174336923505,0.0,10036.690705291721,10036.690705291721,涨,0.5897787809371948
2025-04-08,持有,719.22,13.975174336923505,0.0,10051.224886602124,10051.224886602124,涨,0.5803650617599487
2025-04-09,持有,728.14,13.975174336923505,0.0,10175.883441687482,10175.883441687482,涨,0.5511951446533203
2025-04-10,卖出,729.0,0.0,10187.902091617236,0.0,10187.902091617236,跌,0.4171711802482605
2025-04-11,空仓,757.3,0.0,10187.902091617236,0.0,10187.902091617236,跌,0.4577403962612152
2025-04-14,买入,763.0,13.352427380887596,0.0,10196.447645141003,10196.447645141003,涨,0.5021740198135376
2025-04-15,持有,764.44,13.352427380887596,0.0,10207.129587045714,10207.129587045714,涨,0.5067325830459595
2025-04-16,卖出,763.94,0.0,10200.45337335527,0.0,10200.45337335527,跌,0.49511054158210754
2025-04-17,空仓,789.22,0.0,10200.45337335527,0.0,10200.45337335527,跌,0.4919402301311493
2025-04-18,空仓,791.02,0.0,10200.45337335527,0.0,10200.45337335527,跌,0.4803179204463959
2025-04-21,空仓,805.06,0.0,10200.45337335527,0.0,10200.45337335527,跌,0.4750077426433563
2025-04-22,空仓,831.42,0.0,10200.45337335527,0.0,10200.45337335527,跌,0.488084077835083
2025-04-23,买入,820.58,12.430784778273015,0.0,9749.21588590396,9749.21588590396,涨,0.6525947451591492
2025-04-24,卖出,786.28,0.0,9774.077455460505,0.0,9774.077455460505,跌,0.43682727217674255
2025-04-25,空仓,787.2,0.0,9774.077455460505,0.0,9774.077455460505,跌,0.21714290976524353
2025-04-28,空仓,780.04,0.0,9774.077455460505,0.0,9774.077455460505,跌,0.2523058354854584
2025-04-29,买入,782.9,12.484451980406828,0.0,9802.042627896617,9802.042627896617,涨,0.5650049448013306
2025-04-30,持有,782.38,12.484451980406828,0.0,9767.585540430693,9767.585540430693,涨,0.8667497038841248
2025-05-06,持有,797.2,12.484451980406828,0.0,9952.605118780324,9952.605118780324,涨,0.7816181182861328
2025-05-07,持有,803.5,12.484451980406828,0.0,10031.257166256886,10031.257166256886,涨,0.5283457636833191
2025-05-08,卖出,803.1,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.4563120901584625
2025-05-09,空仓,788.42,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.4356563091278076
2025-05-12,空仓,772.28,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.4317052364349365
2025-05-13,空仓,767.68,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.4246208965778351
2025-05-14,空仓,761.72,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.42978572845458984
2025-05-15,空仓,739.82,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.44725003838539124
2025-05-16,空仓,751.8,0.0,10026.263385464723,0.0,10026.263385464723,跌,0.46533527970314026
2025-05-19,买入,743.7,13.481596591992366,0.0,10190.19960002335,10190.19960002335,涨,0.5089375376701355
2025-05-20,持有,754.38,13.481596591992366,0.0,10170.246837067201,10170.246837067201,涨,0.5645397305488586
2025-05-21,卖出,760.6,0.0,10254.102367869395,0.0,10254.102367869395,跌,0.4717400372028351
2025-05-22,空仓,780.1,0.0,10254.102367869395,0.0,10254.102367869395,跌,0.45627984404563904
2025-05-23,空仓,780.1,0.0,10254.102367869395,0.0,10254.102367869395,跌,0.4437873065471649
2025-05-26,空仓,777.3,0.0,10254.102367869395,0.0,10254.102367869395,跌,0.49015533924102783
