date,action,price,shares,cash,position_value,total_value,prediction,probability_up
2025-07-07,空仓,120540.0,0.0,10000.0,0.0,10000.0,跌,0.48653000593185425
2025-07-08,空仓,120370.0,0.0,10000.0,0.0,10000.0,跌,0.4888419508934021
2025-07-09,买入,120010.0,0.08332638946754437,0.0,9927.506041163235,9927.506041163235,涨,0.5141510367393494
2025-07-10,卖出,119140.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.48462924361228943
2025-07-11,空仓,121390.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4817102551460266
2025-07-14,空仓,121100.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4821656048297882
2025-07-15,空仓,119520.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.48110145330429077
2025-07-16,空仓,120710.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.47906339168548584
2025-07-17,空仓,119970.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4785594940185547
2025-07-18,空仓,120580.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4792742431163788
2025-07-21,空仓,122700.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4849810004234314
2025-07-22,空仓,123720.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4897100627422333
2025-07-23,空仓,123370.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.49242573976516724
2025-07-24,空仓,124360.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.49325063824653625
2025-07-25,空仓,124360.0,0.0,9927.506041163235,0.0,9927.506041163235,跌,0.4950824975967407
2025-07-28,买入,123980.0,0.08007344766222967,0.0,9738.532704680372,9738.532704680372,涨,0.5050428509712219
2025-07-29,持有,121800.0,0.08007344766222967,0.0,9752.945925259573,9752.945925259573,涨,0.5010184645652771
2025-07-30,持有,121720.0,0.08007344766222967,0.0,9746.540049446596,9746.540049446596,涨,0.5028573274612427
2025-07-31,持有,119830.0,0.08007344766222967,0.0,9595.20123336498,9595.20123336498,涨,0.5436290502548218
2025-08-01,持有,119770.0,0.08007344766222967,0.0,9590.396826505246,9590.396826505246,涨,0.5564805865287781
2025-08-04,持有,120630.0,0.08007344766222967,0.0,9659.259991494764,9659.259991494764,涨,0.5282074213027954
2025-08-05,持有,120910.0,0.08007344766222967,0.0,9681.680556840189,9681.680556840189,涨,0.5041699409484863
2025-08-06,卖出,120500.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4922909736633301
2025-08-07,空仓,121850.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4889931082725525
2025-08-08,空仓,121180.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4864747226238251
2025-08-11,空仓,122130.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4859977960586548
2025-08-12,空仓,122440.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48571842908859253
2025-08-13,空仓,122340.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4842579960823059
2025-08-14,空仓,121200.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48080822825431824
2025-08-15,空仓,120770.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48016390204429626
2025-08-18,空仓,120460.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4836340844631195
2025-08-19,空仓,120450.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48590630292892456
2025-08-20,空仓,120060.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4905754625797272
2025-08-21,空仓,119830.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4935459494590759
2025-08-22,空仓,119610.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.494201123714447
2025-08-25,空仓,120310.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4881225526332855
2025-08-26,空仓,120370.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4865899980068207
2025-08-27,空仓,121760.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4885203242301941
2025-08-28,空仓,120990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.486698180437088
2025-08-29,空仓,121700.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4856569766998291
2025-09-01,空仓,123450.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48804256319999695
2025-09-02,空仓,122530.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4871985912322998
2025-09-03,空仓,121790.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4863917827606201
2025-09-04,空仓,120850.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48899832367897034
2025-09-05,空仓,121310.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4839930236339569
2025-09-08,空仓,122140.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47843530774116516
2025-09-09,空仓,120700.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47916069626808167
2025-09-10,空仓,120850.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48058298230171204
2025-09-11,空仓,120620.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48268455266952515
2025-09-12,空仓,121980.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4824199974536896
2025-09-15,空仓,122580.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48531004786491394
2025-09-16,空仓,122610.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48607683181762695
2025-09-17,空仓,121990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4833572804927826
2025-09-18,空仓,121110.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4812425374984741
2025-09-19,空仓,121730.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47874170541763306
2025-09-22,空仓,121560.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47853466868400574
2025-09-23,空仓,120910.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4790087938308716
2025-09-24,空仓,121450.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47976425290107727
2025-09-25,空仓,122990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4832082986831665
2025-09-26,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4804254174232483
2025-09-29,空仓,121100.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47862061858177185
2025-09-30,空仓,120900.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47807008028030396
2025-10-09,空仓,124480.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4833777844905853
2025-10-10,空仓,122180.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4797041416168213
2025-10-13,空仓,121410.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47696653008461
2025-10-14,空仓,120990.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4766116142272949
2025-10-15,空仓,121330.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47567957639694214
2025-10-16,空仓,121420.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47674086689949036
2025-10-17,空仓,121330.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.478495329618454
2025-10-20,空仓,120860.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4797666668891907
2025-10-21,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48092982172966003
2025-10-22,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48167604207992554
2025-10-23,空仓,121380.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4818888008594513
2025-10-24,空仓,122150.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48310497403144836
2025-10-27,空仓,122400.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4839385151863098
2025-10-28,空仓,120560.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47995704412460327
2025-10-29,空仓,121540.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47828859090805054
2025-10-30,空仓,120980.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47757527232170105
2025-10-31,空仓,120590.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4776676595211029
2025-11-03,空仓,120950.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.47878435254096985
2025-11-04,空仓,119700.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4798002243041992
2025-11-05,空仓,120030.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4813220798969269
2025-11-06,空仓,119750.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.48309409618377686
2025-11-07,空仓,119440.0,0.0,9648.850443298676,0.0,9648.850443298676,跌,0.4849286675453186
